name,team,player_position,penalty_name,penalty_yards
T.Williams,Green Bay,CB,Taunting,15
T.Williams,Green Bay,CB,Chop Block,16
T.Williams,Green Bay,CB,Illegally Kicking Ball,0
T.Williams,Green Bay,CB,Defensive Offside,76
V.Davis,Miami,CB,Face Mask (5 Yards),0
V.Davis,Miami,CB,Illegal Procedure,0
V.Davis,Miami,CB,Delay of Game,16
V.Davis,Miami,CB,Illegally Kicking Ball,0
V.Davis,Miami,CB,Leaping,0
W.Gay,Pittsburgh,CB,Illegal Cut,0
W.Gay,Pittsburgh,CB,Illegal Touch Pass,0
A.Ball,Dallas,DB,Delay of Kickoff,0
A.Ball,Dallas,DB,Offensive 12 On-field,0
A.Ball,Dallas,DB,Face Mask (5 Yards),0
A.Carroll,N.Y. Jets,DB,Running Into the Kicker,0
A.Cromartie,N.Y. Jets,DB,Illegal Blindside Block,0
A.Cromartie,N.Y. Jets,DB,False Start,218
A.Cromartie,San Diego,DB,Defensive 12 On-field,10
A.Cromartie,San Diego,DB,Defensive Pass Interference,119
A.Francisco,Indianapolis,DB,Leaping,0
A.Madison,Cleveland,DB,Illegal Shift,15
A.Molden,Houston,DB,Illegal Motion,5
A.Rolle,Arizona,DB,Illegal Use of Hands,15
A.Rolle,Arizona,DB,Roughing the Kicker,0
A.Rolle,N.Y. Giants,DB,Interference with Opportunity to Catch,0
A.Rouse,N.Y. Giants,DB,Illegal Cut,0
A.Rouse,N.Y. Giants,DB,Illegal Wedge,0
A.Smith,Detroit,DB,Illegal Kick,0
A.Smith,Jacksonville,DB,Clipping,0
A.Smith,Jacksonville,DB,Offside on Free Kick,0
A.Smith,St. Louis,DB,Defensive Holding,40
B.Fletcher,St. Louis,DB,Defensive 12 On-field,10
B.Fletcher,St. Louis,DB,Tripping,10
B.Fletcher,St. Louis,DB,Ineligible Downfield Kick,0
B.Fletcher,St. Louis,DB,Leaping,11
B.Johnson,N.Y. Giants,DB,Illegal Peelback,0
B.Johnson,N.Y. Giants,DB,Illegal Shift,4
B.Johnson,N.Y. Giants,DB,Illegal Cut,0
B.Johnson,N.Y. Giants,DB,Illegal Shift,10
B.Lockett,New England,DB,Illegal Cut,0
B.Lockett,New England,DB,Illegal Double-Team Block,0
B.McCain,Houston,DB,Offensive Pass Interference,70
B.McCain,Houston,DB,Face Mask (15 Yards),60
B.McCain,Houston,DB,Illegal Substitution,0
B.McCain,Houston,DB,Illegal Touch Kick,10
B.McDonald,Cleveland,DB,Illegal Forward Handoff,0
B.McDonald,Cleveland,DB,Disqualification,0
B.McDonald,Cleveland,DB,Illegal Peelback,0
B.McDonald,Cleveland,DB,Illegal Touch Kick,0
B.McDonald,Cleveland,DB,Player Out of Bounds on Punt,0
B.McGowan,New England,DB,Interference with Opportunity to Catch,0
B.Meriweather,New England,DB,Offensive Too Many Men on Field,0
B.Underwood,Green Bay,DB,Illegal Procedure,0
B.Underwood,Green Bay,DB,Fair Catch Interference,15
B.Underwood,Green Bay,DB,Kick Catch Interference,0
B.Williams,Atlanta,DB,Running Into the Kicker,5
C.Brown,N.Y. Giants,DB,Offensive Offside,0
C.Brown,N.Y. Giants,DB,Defensive Offside,30
C.Brown,N.Y. Giants,DB,Fair Catch Interference,0
C.Brown,N.Y. Giants,DB,Invalid Fair Catch Signal,0
C.Brown,N.Y. Giants,DB,Offensive 12 On-field,0
C.Carr,Baltimore,DB,Illegal Use of Hands,0
C.Carr,Baltimore,DB,Fair Catch Interference,0
C.Carr,Baltimore,DB,Low Block,0
C.Carr,Baltimore,DB,Illegal Use of Hands,20
C.Carr,Baltimore,DB,Illegal Onside Kick,0
C.Clemons,Miami,DB,Ineligible Downfield Kick,0
C.Crocker,Cincinnati,DB,Illegal Kick/Kicking Loose Ball,0
